"Paper Title","Paper Link","Publication Year","Publication Type","Publication Title","Author Names","DOI","PDF Link","Open Access"
"Predictive Handling of Asynchronous Concept Drifts in Distributed Environments","https://scispace.com/papers/predictive-handling-of-asynchronous-concept-drifts-in-4r9iz85zwa","2013","Journal Article","IEEE Transactions on Knowledge and Data Engineering","Hock Hee Ang
Vivekanand Gopalkrishnan
Indre Zliobaite
Mykola Pechenizkiy
Steven C. H. Hoi","10.1109/TKDE.2012.172","https://scispace.com/pdf/predictive-handling-of-asynchronous-concept-drifts-in-4r9iz85zwa.pdf","Yes"
"Gaussian Mixture Approach to Detect Drift","https://scispace.com/papers/gaussian-mixture-approach-to-detect-drift-3ajnqqu99g","2006","","","Mamidi Sree Kalyan Chakravorty","","https://scispace.com/pdf/gaussian-mixture-approach-to-detect-drift-3ajnqqu99g.pdf","Yes"
"Monitoring Concept Drift in Continuous Federated Learning Platforms","https://scispace.com/papers/monitoring-concept-drift-in-continuous-federated-learning-1aag14blxs","","Journal Article","","Christoph Düsing
Philipp Cimiano","10.1007/978-3-031-58553-1_7","","No"
"Individuals control schemes for monitoring the mean and variance of processes subject to drifts","https://scispace.com/papers/individuals-control-schemes-for-monitoring-the-mean-and-1mn6oh48u3","2001","Journal Article","Stochastic Analysis and Applications","Marion R. Reynolds
Zachary G. Stoumbos","10.1081/SAP-120000226","https://rmgsc.cr.usgs.gov/outgoing/threshold_articles/Reynolds_Stoumbos2001.pdf","No"
"Concept Drift Detection Through Resampling","https://scispace.com/papers/concept-drift-detection-through-resampling-o0menodjfs","2014","Proceedings Article","International Conference on Machine Learning","Maayan Harel
Shie Mannor
Ran El-Yaniv
Koby Crammer","","https://scispace.com/pdf/concept-drift-detection-through-resampling-o0menodjfs.pdf","Yes"
"A Robust Drift Detection Algorithm with High Accuracy and Low False Positives Rate","https://scispace.com/papers/a-robust-drift-detection-algorithm-with-high-accuracy-and-3c7zfl5t","","","","Laurent Simon
Akka Zemmari","","","No"
"Pre-event Abrupt Drift Detection","https://scispace.com/papers/pre-event-abrupt-drift-detection-4het9ai495","2015","","","Tatiana Escovedo
Adriano Koshiyama
Marley M. B. R. Vellasco
Rubens N. Melo","","","Yes"
"Alignment Monitoring","https://scispace.com/papers/alignment-monitoring-92465syo7c1j","2025","Journal Article","arXiv.org","Thomas A. Henzinger
Konstantin Kueffner
Vasu Singh
I. Sun","10.48550/arxiv.2508.00021","https://scispace.com/pdf/alignment-monitoring-92465syo7c1j.pdf","No"
"Condition detection and reporting in complex systems","https://scispace.com/papers/condition-detection-and-reporting-in-complex-systems-4mdv0u5mzo","2011","Patent","","Philip White","","","No"
"Adaptive Data Quality Scoring Operations Framework using Drift-Aware
  Mechanism for Industrial Applications","https://scispace.com/papers/adaptive-data-quality-scoring-operations-framework-using-609pocfekyil","2024","Journal Article","","Firas Bayram
Bestoun S. Ahmed
Erik I. Hallin","10.48550/arxiv.2408.06724","https://scispace.com/pdf/adaptive-data-quality-scoring-operations-framework-using-609pocfekyil.pdf","No"
"Algebra of Data Reconciliation","https://scispace.com/papers/algebra-of-data-reconciliation-2d45g336","2022","Journal Article","Studia Scientiarum Mathematicarum Hungarica","Oliver Clifford Pedersen","10.1556/012.2022.01529","https://scispace.com/pdf/algebra-of-data-reconciliation-2d45g336.pdf","Yes"
"Detecting gradual trends: Integrating EWMA control charts with artificial intelligence algorithms (LSTM)","https://scispace.com/papers/detecting-gradual-trends-integrating-ewma-control-charts-nco3dk0ujhdo","2025","Journal Article","Sustainable Engineering and Innovation","Husam M. Sabri
Hasanain Jalil Neamah Alsaedi
Salwan M. Alwan","10.37868/sei.v7i2.id614","https://scispace.com/pdf/detecting-gradual-trends-integrating-ewma-control-charts-nco3dk0ujhdo.pdf","No"
"DriftWatch: A Tool that Automatically Detects Data Drift and Extracts Representative Examples Affected by Drift","https://scispace.com/papers/driftwatch-a-tool-that-automatically-detects-data-drift-and-6heq74v1bt","","Proceedings Article","","Myeongjun Jang
Antonios Georgiadis
Yiyun Zhao
Fran Silavong","10.18653/v1/2024.naacl-industry.28","","No"
"An integrated change point detection and online monitoring approach for the ratio of two variables using clustering-based control charts","https://scispace.com/papers/an-integrated-change-point-detection-and-online-monitoring-2ce1521ztvdj","2025","Journal Article","Journal of Applied Statistics","Adel Ahmadi Nadi
Ali Yeganeh
Sandile Charles Shongwe
Alireza Shadman","10.1080/02664763.2025.2455625","","No"
"Strongly consistent global states detection using relative clock errors","https://scispace.com/papers/strongly-consistent-global-states-detection-using-relative-3we8ulewp1","2003","Proceedings Article","International Symposium on Parallel and Distributed Computing","Janusz Borkowski","10.1109/ISPDC.2003.1267642","http://ieeexplore.ieee.org/iel5/8946/28341/01267642.pdf","No"
"Using the expected detection delay to assess the performance of different multivariate statistical process monitoring methods for multiplicative and drift faults.","https://scispace.com/papers/using-the-expected-detection-delay-to-assess-the-performance-1n6nipg6ct","2017","Journal Article","Isa Transactions","Kai Zhang
Yuri A.W. Shardt
Zhiwen Chen
Kaixiang Peng","10.1016/J.ISATRA.2016.11.007","","No"
"Retroscope: Retrospective Monitoring of Distributed Systems","https://scispace.com/papers/retroscope-retrospective-monitoring-of-distributed-systems-3c70kyafqk","2019","Journal Article","IEEE Transactions on Parallel and Distributed Systems","Aleksey Charapko
Ailidani Ailijiang
Murat Demirbas
Sandeep S. Kulkarni","10.1109/TPDS.2019.2911944","","No"
"A data-driven monitoring scheme for multivariate multimodal data","https://scispace.com/papers/a-data-driven-monitoring-scheme-for-multivariate-multimodal-3p7p1r5jl0","2024","Journal Article","","Zhiqiong Wang
Renping Gong
Lisha Song
Shuguang He
Yuan Gao","10.1016/j.cie.2024.110186","","No"
"Online Nonparametric Monitoring for Asynchronous Processes with Serial Correlation","https://scispace.com/papers/online-nonparametric-monitoring-for-asynchronous-processes-37mew90loz","2024","Journal Article","IISE transactions","Zi-Dong Zheng
Honghan Ye
Kaibo Liu","10.1080/24725854.2024.2302355","","No"
"Verify, And Then Trust: Data Inconsistency Detection in ZooKeeper","https://scispace.com/papers/verify-and-then-trust-data-inconsistency-detection-in-164qq7xe","2023","Proceedings Article","","Fang Lyu
Benjamin Reed","10.1145/3578358.3591328","","No"
"Detection & Management of Concept Drift","https://scispace.com/papers/detection-management-of-concept-drift-cdymr2dx22","2006","Proceedings Article","International Conference on Machine Learning and Cybernetics","L.-O. Mak
Paul Krause","10.1109/ICMLC.2006.258538","","No"
"Multi-window Drift Detection Method Based on Integrating Outlier Identification and Input/Output Space Information with Its Application","https://scispace.com/papers/multi-window-drift-detection-method-based-on-integrating-n30ia2m7eihb","","","","Chaofan Xu
Jian Tang
Zijian Sun
Heng Xia
Zhe Xu
Wen Xu","10.1109/cac53003.2021.9727302","","No"
"Online monitoring of high-dimensional asynchronous and heterogeneous data streams for shifts in location and scale","https://scispace.com/papers/online-monitoring-of-high-dimensional-asynchronous-and-35tmrt22","2023","Journal Article","International Journal of Production Research","Honghan Ye
Zi-Dong Zheng
Jing-Ru C. Cheng
Brock Hable
Kaibo Liu","10.1080/00207543.2023.2172474","","No"
"Strongly consistent global state detection for on-line control of distributed applications","https://scispace.com/papers/strongly-consistent-global-state-detection-for-on-line-54kagqlxv0","2004","Proceedings Article","Parallel, Distributed and Network-Based Processing","J. Borkowski","10.1109/EMPDP.2004.1271437","","No"
"Consistency Maintenance in Distributed Analytical Stream Processing","https://scispace.com/papers/consistency-maintenance-in-distributed-analytical-stream-4fzk0tq3qr","2018","Book Chapter","Advances in Databases and Information Systems","Artem Trofimov
Artem Trofimov","10.1007/978-3-030-00063-9_38","","No"
"AutoMon: Automatic Distributed Monitoring for Arbitrary Multivariate Functions","https://scispace.com/papers/automon-automatic-distributed-monitoring-for-arbitrary-2dv0afw7","2022","Proceedings Article","Proceedings of the 2022 International Conference on Management of Data","Hadar Sivan
Moshe Gabel
Assaf Schuster","10.1145/3514221.3517866","","No"
"A Distribution-Free CUSUM Scheme for Monitoring Location and Scale in High-Dimensional Processes","https://scispace.com/papers/a-distribution-free-cusum-scheme-for-monitoring-location-and-gdsyv4jc","2022","Proceedings Article","Chinese Control and Decision Conference","Anan Tang
Yongtu Wang
Ximing Wang","10.1109/CCDC55256.2022.10033593","","No"
"Change detection in multivariate datastreams controlling false alarms","https://scispace.com/papers/change-detection-in-multivariate-datastreams-controlling-3zfgv2qkvj","2021","Book Chapter","European conference on Machine Learning","Luca Frittoli
Diego Carrera
Giacomo Boracchi","10.1007/978-3-030-86486-6_26","https://scispace.com/pdf/change-detection-in-multivariate-datastreams-controlling-3zfgv2qkvj.pdf","Yes"
"Inconsistency Detection in Distributed Model Driven Software Engineering Environments","https://scispace.com/papers/inconsistency-detection-in-distributed-model-driven-software-5g8mfn3vb4","2010","","","Alix Mougenot
Xavier Blanc
Marie-Pierre Gervais","","https://scispace.com/pdf/inconsistency-detection-in-distributed-model-driven-software-5g8mfn3vb4.pdf","Yes"
"Detection of data drift and outliers affecting machine learning model   performance over time","https://scispace.com/papers/detection-of-data-drift-and-outliers-affecting-machine-l2jwgl7xdyro","","","","Samuel Ackerman
Eitan Farchi
Orna Raz
Marcel Zalmanovici
Parijat Dube","10.48550/arxiv.2012.09258","","No"
"Precision, recall, and sensitivity of monitoring partially synchronous distributed programs","https://scispace.com/papers/precision-recall-and-sensitivity-of-monitoring-partially-446v76lah9","2021","Journal Article","Distributed Computing","Duong N. Nguyen
Sorrachai Yingchareonthawornchai
Vidhya Tekken Valapil
Sandeep S. Kulkarni
Murat Demirbas","10.1007/S00446-021-00402-W","","No"
"Decentralised Data Quality Control in Ground Truth Production for Autonomic Decisions","https://scispace.com/papers/decentralised-data-quality-control-in-ground-truth-z3gqd2ld","2022","Journal Article","IEEE Transactions on Parallel and Distributed Systems","","10.1109/tpds.2022.3142967","","No"
"A Solution for Fault-Tolerance Based on Adaptive Replication in MonALISA","https://scispace.com/papers/a-solution-for-fault-tolerance-based-on-adaptive-replication-4nokhg5u6y","2010","Proceedings Article","","Alexandru Costan
Mugurel Ionut Andreica
Valentin Cristea
Costin Grigoras","10.1109/3PGCIC.2010.63","","No"
"IDEA: an infrastructure for detection-based adaptive consistency control in replicated services","https://scispace.com/papers/idea-an-infrastructure-for-detection-based-adaptive-4ahqriscyb","2007","Proceedings Article","High Performance Distributed Computing","Yijun Lu
Ying Lu
Hong Jiang","10.1145/1272366.1272401","https://scispace.com/pdf/idea-an-infrastructure-for-detection-based-adaptive-4ahqriscyb.pdf","No"
"Systems and methods for drift correction","https://scispace.com/papers/systems-and-methods-for-drift-correction-1tg0fsztmw","2017","Patent","","Christopher A. Peri","","","No"
"Automatic drift correction","https://scispace.com/papers/automatic-drift-correction-3t14uujdjy","1983","Patent","","Brian D. Tucker","","","No"
"Video frame drift correction","https://scispace.com/papers/video-frame-drift-correction-2sp1gzodel","2020","Patent","","Mark Q. Shaw
Jan P. Allebach
Edward J. Delp","","","No"
"Drift correction circuit","https://scispace.com/papers/drift-correction-circuit-59idswrkvn","1977","Patent","","Mori Masaaki","","","No"
"A drift correction procedure.","https://scispace.com/papers/a-drift-correction-procedure-jsr8a2zya9","1998","Journal Article","Analytical Chemistry","Marc L. Salit
Gregory C. Turk","10.1021/AC980095B","https://scispace.com/pdf/a-drift-correction-procedure-jsr8a2zya9.pdf","No"
"SP Curve Drift Correction","https://scispace.com/papers/sp-curve-drift-correction-3xgy9wlb0y","2012","Patent","","Adrian Esteban Scillato","","","No"
"Self-Healing RPA Systems: Machine Learning Approaches","https://scispace.com/papers/self-healing-rpa-systems-machine-learning-approaches-ctbb91c4cjmy","2025","Journal Article","International Journal of Basic and Applied Sciences","Kiran Babu Macha","10.14419/ka544y53","","No"
"Cloud compliance drift automation and root cause analysis tool","https://scispace.com/papers/cloud-compliance-drift-automation-and-root-cause-analysis-1savvo5gn7","2020","Patent","","Blackburn Justin Christopher
Blackburn Jacob
Royal Lorie
Kelly Shawn","","","No"
"Endpoint drift correction for automatic titrations","https://scispace.com/papers/endpoint-drift-correction-for-automatic-titrations-4kx5fisuz6","1978","Patent","","Lee B. Eppstein
James K. Kroeger
Kenneth A. Lindblom","","","No"
"Self-Healing Cloud Databases: Automatically Resolving Outages for Non-Stop Business","https://scispace.com/papers/self-healing-cloud-databases-automatically-resolving-outages-ay0zw50ywnfl","2025","Journal Article","Journal of Information Systems Engineering and Management","Veeravenkata Maruthi Lakshmi Ganesh Nerella","10.52783/jisem.v10i4.12498","","No"
"Container based framework for self-healing software system","https://scispace.com/papers/container-based-framework-for-self-healing-software-system-1q9ra0zvya","2004","Proceedings Article","International Workshop on Variable Structure Systems","Rajesh Kumar Ravi
V. Sathyanarayana","10.1109/FTDCS.2004.1316631","","No"
"Sample drift correction device","https://scispace.com/papers/sample-drift-correction-device-e3iuynjgnl","1976","Patent","","Okumura Masahide
Katou Yasuo","","","No"
"Drift correction for scattering measurements","https://scispace.com/papers/drift-correction-for-scattering-measurements-347p75szt3","2006","Journal Article","Applied Physics Letters","Christelle Eyraud
Jean-Michel Geffrin
Amelie Litman
Pierre Sabouroux
Hugues Giovannini","10.1063/1.2404978","","No"
"Automatic self-healing method based on IT operation and maintenance","https://scispace.com/papers/automatic-self-healing-method-based-on-it-operation-and-5e6u8sv9r2","2018","Patent","","Zhao Jing
Mei Yongjian
Lian Zhigang
Wu Wenqing
Deng Shufen","","","No"
"System and method for configuration drift detection and remediation","https://scispace.com/papers/system-and-method-for-configuration-drift-detection-and-126x2ghd7t","2020","Patent","","Shetty Sudhir Vittal
Ayolasomyajula Rakesh Kumar
Iyer Pushkala","","","No"
"Robust tracking method with drift correction","https://scispace.com/papers/robust-tracking-method-with-drift-correction-389f3g4tvk","2010","Proceedings Article","International Conference on Image Analysis and Signal Processing","Kun-peng Wang
Yang Gui
Xiao-hu Zhang
Qi-feng Yu","10.1109/IASP.2010.5476089","","No"
"Automated issue remediation for information technology infrastructure","https://scispace.com/papers/automated-issue-remediation-for-information-technology-vvupo9reph","2019","Patent","","David Mah
Macfiggen Scott
John Watson","","","No"
"A Framework for Self-Healing Enterprise Applications Using Observability and Generative Intelligence","https://scispace.com/papers/a-framework-for-self-healing-enterprise-applications-using-ztb6b7pnqp2l","2025","Journal Article","European journal of computer science and information technology","Goutham Yenuganti","10.37745/ejcsit.2013/vol13n42147155","","No"
"Method and system for providing automated self-healing virtual assets","https://scispace.com/papers/method-and-system-for-providing-automated-self-healing-1by4580f77","2015","Patent","","Luis Felipe Cabrera
M. Shannon Lietz","","","No"
"Drift correction method","https://scispace.com/papers/drift-correction-method-j4r4szdwb5","1987","Patent","","Ono Shigeki","","","No"
"System and method for providing software build violation detection and self-healing","https://scispace.com/papers/system-and-method-for-providing-software-build-violation-4p9uq7nc4a","2015","Patent","","Kyasaram Vishwa Prasad
Anilkumar Gande
Srikanth Subrahmanya Nandula
Subhadarshi Mishra","","","No"
"Drift correction in aes analysis","https://scispace.com/papers/drift-correction-in-aes-analysis-1xjnboqcz0","1993","Patent","","Miyatake Isao","","","No"
"Nudged broadcast orbit drift correction","https://scispace.com/papers/nudged-broadcast-orbit-drift-correction-hvhw8i60fm","2008","Patent","","Benjamin William Remondi","","","No"
"Generative AI for Cloud Infrastructure Decision-Making and SelfHealing Systems","https://scispace.com/papers/generative-ai-for-cloud-infrastructure-decision-making-and-ws6z4dv29trs","2024","Journal Article","Design of Single Chip Microcomputer Control System for Stepping Motor","Tirumala Ashish Kumar Manne","10.47363/jaicc/2024(3)456","","No"
"Temporal drift correction","https://scispace.com/papers/temporal-drift-correction-2de7aaugxk","2001","Patent","","John Mantegna
Shuwu Wu","","","No"
"Drift correction for camera tracking","https://scispace.com/papers/drift-correction-for-camera-tracking-46x2gocn51","2016","Patent","","Samer S. Barakat
Mohamed Selim Ben Himane","","","No"
"Double-sided rapid drift correction","https://scispace.com/papers/double-sided-rapid-drift-correction-314rpqzmji","2010","Patent","","Michael Mueller","","","No"
"Self-healing in the Scope of Software-Based Computer and Mobile Networks","https://scispace.com/papers/self-healing-in-the-scope-of-software-based-computer-and-40ia5uollx","2020","Book Chapter","International Conference on Cloud Computing and Services Science","Natal Vieira de Souza Neto
Daniel Ricardo Cunha Oliveira
Maurício Amaral Gonçalves
Flávio de Oliveira Silva
Pedro Frosi Rosa","10.1007/978-3-030-72369-9_14","","No"
"Drift correction in integrators","https://scispace.com/papers/drift-correction-in-integrators-11ie664ods","1991","Patent","","Dudding John","","","No"
"Correction for long-term instrumental drift","https://scispace.com/papers/correction-for-long-term-instrumental-drift-44kk4p7mo2","2002","Journal Article","X-Ray Spectrometry","Richard M. Rousseau","10.1002/XRS.582","","No"
"Self-Healing Approach in the FastFix Project.","https://scispace.com/papers/self-healing-approach-in-the-fastfix-project-1ev7wclfwh","2011","","","Benoit Gaudin
Mike Hinchey","","","Yes"
"Autonomous cloud engineering: The rise of self-healing AWS infrastructure using AI and event-driven automation","https://scispace.com/papers/autonomous-cloud-engineering-the-rise-of-self-healing-aws-8xkgdqiytjmr","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Sreeja Reddy Challa","10.30574/wjaets.2025.15.2.0810","","No"
"FastFix: A Control Theoretic View of Self-Healing for Automatic Corrective Software Maintenance","https://scispace.com/papers/fastfix-a-control-theoretic-view-of-self-healing-for-jb79xxhmj0","2012","Journal Article","Scalable Computing: Practice and Experience","Benoit Gaudin
Mike Hinchey
Emil Vassev
Paddy Nixon
João Garcia
Walid Maalej","10.12694/SCPE.V13I1.763","https://scispace.com/pdf/fastfix-a-control-theoretic-view-of-self-healing-for-jb79xxhmj0.pdf","Yes"
"Self-Healing Cloud: Autonomous Resilience through Reinforcement Learning","https://scispace.com/papers/self-healing-cloud-autonomous-resilience-through-0wk55wfwlnd6","2025","Journal Article","European modern studies journal","Rakesh Kumar Gouri Neni","10.59573/emsj.9(5).2025.48","","No"
"FastFIX: An approach to self-healing","https://scispace.com/papers/fastfix-an-approach-to-self-healing-3jbbju3oi2","2011","Proceedings Article","Federated Conference on Computer Science and Information Systems","Benoit Gaudin
Mike Hinchey","","https://ieeexplore.ieee.org/iel5/6068195/6078170/06078234.pdf","Yes"
"Autonomic Computing: Applications of Self-Healing Systems","https://scispace.com/papers/autonomic-computing-applications-of-self-healing-systems-4n6dbrtywz","2011","Proceedings Article","","M. Mousa Al-Zawi
Dhiya Al-Jumeily
Abir Hussain
A. Taleb-Bendiab","10.1109/DESE.2011.22","","No"
"Self-healing systems - survey and synthesis","https://scispace.com/papers/self-healing-systems-survey-and-synthesis-58w33dazh8","2007","Journal Article","Decision Support Systems","Debanjan Ghosh
Raj Sharman
H. Raghav Rao
Shambhu Upadhyaya","10.1016/J.DSS.2006.06.011","","No"
"Demystifying self-healing cloud architectures: Building resilient systems for modern applications","https://scispace.com/papers/demystifying-self-healing-cloud-architectures-building-n64sk47xcid2","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Praveen Kumar Thota","10.30574/wjaets.2025.15.1.0426","","No"
"Amplifier nonlinear offset drift correction","https://scispace.com/papers/amplifier-nonlinear-offset-drift-correction-1hau8sivk5","2020","Patent","","Wan Quan","","","No"
"Predictive self-healing error remediation architecture","https://scispace.com/papers/predictive-self-healing-error-remediation-architecture-267kp0nu9j","2019","Patent","","Joshi Sarang Padmakar
Nanal Mihir","","","No"
"Case-based reasoning for autonomous service failure diagnosis and remediation in software systems","https://scispace.com/papers/case-based-reasoning-for-autonomous-service-failure-4dxao7lwc3","2006","Book Chapter","Lecture Notes in Computer Science","Stefania Montani
Cosimo Anglano","10.1007/11805816_36","https://scispace.com/pdf/case-based-reasoning-for-autonomous-service-failure-4dxao7lwc3.pdf","No"
"Proactive Self-healing System for Application Maintenance in Ubiquitous Computing Environment","https://scispace.com/papers/proactive-self-healing-system-for-application-maintenance-in-1bikrwodl3","2006","Journal Article","Lecture Notes in Computer Science","Jeongmin Park
Giliong Yoo
Chulho Jeong
Eunseok Lee","","","Yes"
"Enterprise level cybersecurity automatic remediation","https://scispace.com/papers/enterprise-level-cybersecurity-automatic-remediation-1049dbfwug","2019","Patent","","Digiambattista Ernesto
Bezdedeanu Andrei
Kail Michael D","","","No"
"Predictive dependency constraint directed self-healing for wireless sensor networks","https://scispace.com/papers/predictive-dependency-constraint-directed-self-healing-for-4ws4fnfxrc","2010","Proceedings Article","International Conference on Networked Sensing Systems","Jingyuan Li
Yafeng Wu
John A. Stankovic
Sang H. Son
Ziguo Zhong
Tian He
Bong Wan Kim
Seong-Soon Joo","10.1109/INSS.2010.5573547","https://scispace.com/pdf/predictive-dependency-constraint-directed-self-healing-for-4ws4fnfxrc.pdf","No"
"Remedial Actions for Self-Healing in Cyber-Physical Systems","https://scispace.com/papers/remedial-actions-for-self-healing-in-cyber-physical-systems-b4trjtj7h4h3","2025","Journal Article","","Obinna Johnphill
Ali Safaa Sadiq
Omprakash Kaiwartya
Mohammed Adam Taheird","10.21203/rs.3.rs-7030947/v1","https://scispace.com/pdf/remedial-actions-for-self-healing-in-cyber-physical-systems-b4trjtj7h4h3.pdf","No"
"Policy-driven automatic network fault remediation","https://scispace.com/papers/policy-driven-automatic-network-fault-remediation-5e70djb0vz","2012","Patent","","Karl Andre McCabe
Brian White
Brian Joseph Callan
Robert Kennedy","","","No"
"AI-Augmented Self-Healing Infrastructure: Combining Health Probes with Remediation Playbooks","https://scispace.com/papers/ai-augmented-self-healing-infrastructure-combining-health-mqhdw5brqkqg","2025","Journal Article","Journal of Information Systems Engineering and Management","Manoj Kumar Reddy Kalakoti","10.52783/jisem.v10i58s.12800","","No"
"Towards Autonomous Kubernetes: A Framework for AI-Driven Operations (AIOps)","https://scispace.com/papers/towards-autonomous-kubernetes-a-framework-for-ai-driven-6nj8odu6hfri","2025","Journal Article","","Kishan Raj Bellala","10.38124/ijisrt/25sep1016","","No"
"Drift Detection and Correction Post-Tracking","https://scispace.com/papers/drift-detection-and-correction-post-tracking-2bb2zts435","2020","Proceedings Article","International Conference on Acoustics, Speech, and Signal Processing","Tarek Ghoniemy
Maria A. Amer","10.1109/ICASSP40776.2020.9054179","","No"
"Self‐Healing Membranes: Smart Materials for Water Remediation and Desalination","https://scispace.com/papers/self-healing-membranes-smart-materials-for-water-remediation-ingohmnti6ob","2025","Journal Article","Water Environment Research","Divya Bajpai Tripathy
Subhalaxmi Pradhan","10.1002/wer.70148","","No"
"Model-Driven Adaptive Self-healing for Autonomic Computing","https://scispace.com/papers/model-driven-adaptive-self-healing-for-autonomic-computing-4yk1mpns5t","2008","Book Chapter","Modelling Autonomic Communications Environments","Yan Liu
Jing Zhang
John Strassner","10.1007/978-3-540-87355-6_6","","No"
"Method and apparatus for drift management in clustered environments","https://scispace.com/papers/method-and-apparatus-for-drift-management-in-clustered-8f40zs2vk5","2020","Patent","","Satapathy Shibasis
Naik Harsha","","","No"
"Active drift correction template tracking algorithm","https://scispace.com/papers/active-drift-correction-template-tracking-algorithm-3f0v865854","2012","Proceedings Article","International Conference on Image Processing","Baojie Fan
Yingkui Du
Yang Cong
Yandong Tang","10.1109/ICIP.2012.6466879","","No"
"Autonomous CI/CD Meshes: Self-healing deployment architectures with AI-ML Orchestration","https://scispace.com/papers/autonomous-ci-cd-meshes-self-healing-deployment-ciz46sn7icy3","2025","Journal Article","World Journal of Advanced Engineering Technology and Sciences","Venkata Krishna Koganti","10.30574/wjaets.2025.15.2.0777","","No"
"Self-management system based on self-healing mechanism","https://scispace.com/papers/self-management-system-based-on-self-healing-mechanism-mtn7mvj52u","2006","Book Chapter","Asia-Pacific Network Operations and Management Symposium","Jeongmin Park
Giljong Yoo
Chulho Jeong
Eunseok Lee","10.1007/11876601_38","https://scispace.com/pdf/self-management-system-based-on-self-healing-mechanism-mtn7mvj52u.pdf","No"
"Association-Analysis-Based Research on Self-Healing of Information System and its Application","https://scispace.com/papers/association-analysis-based-research-on-self-healing-of-1fcr9fmlx0","2014","Journal Article","Applied Mechanics and Materials","Li Yan
Liu Zhang Zhu
Li Xie
Zhi Feng Wang","10.4028/WWW.SCIENTIFIC.NET/AMM.678.94","","No"
"System and method for autonomus data center operation and healing","https://scispace.com/papers/system-and-method-for-autonomus-data-center-operation-and-4s2zh7qv6d","2019","Patent","","Magcale Arnold","","","No"
"Self-Learning Automated Remediation of Changes that Cause Performance Degradation of Applications","https://scispace.com/papers/self-learning-automated-remediation-of-changes-that-cause-36e7dmpmrr","2014","Patent","","Adar Margalit
Eran Dvir","","","No"
"Self-Healing Software Architectures in the Cloud: AI-Driven Detection and Recovery Mechanisms","https://scispace.com/papers/self-healing-software-architectures-in-the-cloud-ai-driven-ev9b7r2s0du5","2025","Journal Article","International journal of data science and machine learning.","Srinivasu Yalamati","10.55640/ijdsml-05-02-05","","No"
"Automatic self-healing systems in a cross-product IT environment","https://scispace.com/papers/automatic-self-healing-systems-in-a-cross-product-it-3ysvju1i36","2004","Proceedings Article","International Conference on Autonomic Computing","G. Dudley
Neeraj Joshi
David M. Ogle
Balan Subramanian
Brad B. Topol","10.1109/ICAC.2004.1301393","","No"
"A Holistic Approach to Autonomic Self-Healing Distributed Computing System","https://scispace.com/papers/a-holistic-approach-to-autonomic-self-healing-distributed-3zqgkojybr","2013","Journal Article","International Journal of Computer Applications","Abhishek Bhavsar
Ameya More
Chinmay Kulkarni
Dheeraj Oswal
Jagannath Aghav","10.5120/13228-0657","https://scispace.com/pdf/a-holistic-approach-to-autonomic-self-healing-distributed-3zqgkojybr.pdf","Yes"
"Electrical drift correction system","https://scispace.com/papers/electrical-drift-correction-system-52tyz7q2gw","1971","Patent","","Robert S. Prill","","","No"
"Introducing responsibly self-healing into the incident management lifecycle","https://scispace.com/papers/introducing-responsibly-self-healing-into-the-incident-4pfzumqlbc","2023","Journal Article","","Alexandros Papanikolaou
Christos Ilioudis
Vasilios Katos","10.1145/3594806.3594837","","No"
"Self-healing Performance Anomalies in Web-based Applications","https://scispace.com/papers/self-healing-performance-anomalies-in-web-based-applications-2vtnbhhmg4","2013","Proceedings Article","Network Computing and Applications","Joao Paulo Magalhaes
Luis Silva","10.1109/NCA.2013.19","","No"
"Self-Healing in Cyber–Physical Systems Using Machine Learning: A Critical Analysis of Theories and Tools","https://scispace.com/papers/self-healing-in-cyber-physical-systems-using-machine-1iglnkb1","2023","Journal Article","Future Internet","","10.3390/fi15070244","","No"
"On Self-healing Based on Collaborating End-Systems, Access, Edge and Core Network Components","https://scispace.com/papers/on-self-healing-based-on-collaborating-end-systems-access-4c9n200t8z","2010","Book Chapter","International Conference on Access Networks","Nikolay Tcholtchev
Ranganai Chaparadza","10.1007/978-3-642-20931-4_22","https://scispace.com/pdf/on-self-healing-based-on-collaborating-end-systems-access-4c9n200t8z.pdf","No"
"Machine learning based instance remediation","https://scispace.com/papers/machine-learning-based-instance-remediation-4xqbiq8lht","2013","Patent","","Laban Mwangi Kimotho
Jean-Paul Bauer","","","No"
"AI-Driven Self-Healing Cloud Systems: Enhancing Reliability and Reducing Downtime through Event-Driven Automation","https://scispace.com/papers/ai-driven-self-healing-cloud-systems-enhancing-reliability-h0syspip9u97","2024","Journal Article","","Rajeev Arora
Anoop Kumar
Arpita Soni
Aniruddh Tiwari","10.20944/preprints202408.1860.v1","","No"
"Method and system for self-learning issues remediation","https://scispace.com/papers/method-and-system-for-self-learning-issues-remediation-4t4n6v6xwb","2009","Patent","","Christopher Collard
John Igoe","","","No"
"SASH: Safe Autonomous Self-Healing","https://scispace.com/papers/sash-safe-autonomous-self-healing-137wjeqv","2023","Book Chapter","Lecture Notes in Computer Science","Gary L. White
Leonardo Lucio Custode
Owen O'Brien","10.1007/978-3-031-26507-5_12","","No"
